operator,amenity,layer,opening_hours,parking_type,Parking Station Name,Coordinates,Rate Zone,Zone Info,Location ID,Geometry Type,CenterPoint,CenterPoint_rad,Distance to Nearest,CenterPoint_tuple,Distance to Others
N/A,parking,N/A,N/A,N/A,Alpha Garage,"[-73.9747158, 40.7605308]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),161,Point,"[-73.9747158, 40.7605308]","[-1.2911023539370712, 0.7114054673205583]",263.765700415259,"(-73.9747158, 40.7605308)","[0.9017855121993501, 0.04245594634790844, 0.04245594634790844, 0.49119093879537606, 0.1545709040187989, 0.15032392408662199]"
N/A,parking,N/A,N/A,multi-storey,Berkley Garage,"[-73.9802778, 40.7808333]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),239,Point,"[-73.9802778, 40.7808333]","[-1.291199429150067, 0.7117598127919444]",12.065373557899395,"(-73.9802778, 40.7808333)","[0.2551974930442165, 0.2240697819648611, 0.1909435236520227, 0.1250799148047187, 0.2671965376555393, 0.26995248905817054, 0.3573290348959209, 0.35301799288069613, 0.35301799288069613, 0.3517153234472446]"
N/A,parking,N/A,N/A,N/A,Pyramid Garage,"[-73.9799658, 40.7820137]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),239,Point,"[-73.9799658, 40.7820137]","[-1.2911939837228008, 0.711780414658435]",50.15630271859803,"(-73.9799658, 40.7820137)","[0.2551974930442165, 0.2240697819648611, 0.1909435236520227, 0.1250799148047187, 0.2671965376555393, 0.26995248905817054, 0.3573290348959209, 0.35301799288069613, 0.35301799288069613, 0.3517153234472446]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[-73.960854, 40.779288]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),236,Point,"[-73.960854, 40.779288]","[-1.290860419886818, 0.7117328422190135]",246.45652478803015,"(-73.960854, 40.779288)","[0.2464565247880302, 0.2464565247880302, 1.1707409528900365, 0.6836838410531868]"
SP+,parking,N/A,24/7,N/A,SP+,"[-74.0120512, 40.7152168]",Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),231,Point,"[-74.0120512, 40.7152168]","[-1.2917539795946202, 0.7106145888233096]",134.89928269182033,"(-74.0120512, 40.7152168)","[0.640732381099219, 0.640732381099219, 0.13489928269182033, 0.3030353597297753, 0.9072423698759179, 0.8101138534308967, 0.8046261139581793, 0.4032987881206577, 0.48288211496969097, 0.1759347315324687, 0.22647530536239766, 0.4041064238889661, 0.48281042627953885, 0.17805861720877253, 0.2232540178224996, 1.208565607327159, 1.205690434070224, 1.0624172554328282, 0.7449699935383445, 1.0505133189670828, 0.7484460730622645, 0.5831745222766808, 0.5812694016556167]"
Icon,parking,N/A,N/A,N/A,Unnamed,"[-74.0143843, 40.7098072]",Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),261,Point,"[-74.0143843, 40.7098072]","[-1.2917946998713985, 0.7105201734920937]",91.81645544171845,"(-74.0143843, 40.7098072)","[0.09181645544171844, 0.00962718403306123, 0.00962718403306123]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[-73.9148761, 40.87306]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),128,Point,"[-73.9148761, 40.87306]","[-1.2900579541486654, 0.7133694723651935]",137.794488265266,"(-73.9148761, 40.87306)","[1.008740092880651, 0.0018745662333962661, 0.0018745662333962661]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[-73.9966404, 40.7569496]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),48,Point,"[-73.9966404, 40.7569496]","[-1.291485010394254, 0.7113429635893859]",99.24611381202476,"(-73.9966404, 40.7569496)","[1.4693792035769637, 1.4693792035769637, 1.4596849111527908, 1.2273279900931007, 0.4894825873204619, 0.4617251511338812, 0.6741510262610023, 0.675563491676373, 0.8387437109718501, 1.0639116209200652, 1.0472573363031301, 1.1155248837890737, 0.7143003777192365, 0.6983941814553504, 0.8149360103575031, 0.8351612808720451, 1.0587217691660442, 1.04595810335134, 1.1009681557345394, 0.7107458555979614, 0.6836985866082618, 0.8102545804650074]"
Icon Parking,parking,N/A,N/A,multi-storey,Icon Parking,"[-73.97277, 40.7468925]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),170,Point,"[-73.97277, 40.7468925]","[-1.2910683933204858, 0.7111674340811835]",45.652665579814176,"(-73.97277, 40.7468925)","[0.6883713734087532, 0.6883713734087532, 0.7929232622035232, 0.8504516158470831, 0.11770677442243493, 0.15613306189795118, 0.4320209315495741, 1.1128976660026413, 1.1113971706898735, 0.8470273982823893, 0.8495928961293837, 0.7722709258266244, 0.7747169922468481, 0.8870264720008423, 0.8840682672035842, 0.274781910127277, 0.28590058836858045, 0.9904566599607552, 0.9897907522038053]"
N/A,parking,-1.0,N/A,underground,Hippodrome Parking,"[-73.9823304, 40.7556649]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),161,Point,"[-73.9823304, 40.7556649]","[-1.2912352537782934, 0.7113205413444855]",42.45594634790844,"(-73.9823304, 40.7556649)","[0.9017855121993501, 0.04245594634790844, 0.04245594634790844, 0.49119093879537606, 0.1545709040187989, 0.15032392408662199]"
N/A,parking,-1.0,N/A,underground,Hippodrome Parking,"[-73.9826925, 40.755226]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),161,Point,"[-73.9826925, 40.755226]","[-1.291241573615515, 0.7113128810943985]",42.45594634790844,"(-73.9826925, 40.755226)","[0.9017855121993501, 0.04245594634790844, 0.04245594634790844, 0.49119093879537606, 0.1545709040187989, 0.15032392408662199]"
