operator,amenity,layer,opening_hours,Geometry Type,Parking Station Name,Coordinates,Location ID,parking_type,Rate Zone,Zone Info,CenterPoint,CenterPoint_rad
N/A,parking,N/A,N/A,Point,Alpha Garage,"[-73.9747158, 40.7605308]",161,N/A,N/A,N/A,"[-73.9747158, 40.7605308]","[-1.2911023539370712, 0.7114054673205583]"
N/A,parking,N/A,N/A,Point,Berkley Garage,"[-73.9802778, 40.7808333]",239,multi-storey,N/A,N/A,"[-73.9802778, 40.7808333]","[-1.291199429150067, 0.7117598127919444]"
N/A,parking,N/A,N/A,Point,Pyramid Garage,"[-73.9799658, 40.7820137]",239,N/A,N/A,N/A,"[-73.9799658, 40.7820137]","[-1.2911939837228008, 0.711780414658435]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.960854, 40.779288]",236,N/A,N/A,N/A,"[-73.960854, 40.779288]","[-1.290860419886818, 0.7117328422190135]"
SP+,parking,N/A,24/7,Point,SP+,"[-74.0120512, 40.7152168]",231,N/A,N/A,N/A,"[-74.0120512, 40.7152168]","[-1.2917539795946202, 0.7106145888233096]"
Icon,parking,N/A,N/A,Point,Unnamed,"[-74.0143843, 40.7098072]",261,N/A,N/A,N/A,"[-74.0143843, 40.7098072]","[-1.2917946998713985, 0.7105201734920937]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9148761, 40.87306]",128,N/A,N/A,N/A,"[-73.9148761, 40.87306]","[-1.2900579541486654, 0.7133694723651935]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9966404, 40.7569496]",48,N/A,N/A,N/A,"[-73.9966404, 40.7569496]","[-1.291485010394254, 0.7113429635893859]"
Icon Parking,parking,N/A,N/A,Point,Icon Parking,"[-73.97277, 40.7468925]",170,multi-storey,N/A,N/A,"[-73.97277, 40.7468925]","[-1.2910683933204858, 0.7111674340811835]"
N/A,parking,-1.0,N/A,Point,Hippodrome Parking,"[-73.9823304, 40.7556649]",161,underground,N/A,N/A,"[-73.9823304, 40.7556649]","[-1.2912352537782934, 0.7113205413444855]"
N/A,parking,-1.0,N/A,Point,Hippodrome Parking,"[-73.9826925, 40.755226]",161,underground,N/A,N/A,"[-73.9826925, 40.755226]","[-1.291241573615515, 0.7113128810943985]"
Quik Park,parking,-1.0,N/A,Point,Unnamed,"[-73.9719427, 40.7954595]",238,underground,N/A,N/A,"[-73.9719427, 40.7954595]","[-1.291053954211584, 0.7120150881389996]"
N/A,parking,-1.0,24/7,Point,Unnamed,"[-73.9736163, 40.7956415]",238,underground,N/A,N/A,"[-73.9736163, 40.7956415]","[-1.2910831640419456, 0.7120182646382384]"
