Location ID,amenity,Parking Station Name,operator,Rate Zone,Zone Info,opening_hours,layer,parking_type,Coordinates,Geometry Type,CenterPoint
161,parking,Alpha Garage,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.9747158, 40.7605308]",Point,"[-73.9747158, 40.7605308]"
239,parking,Berkley Garage,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,multi-storey,"[-73.9802778, 40.7808333]",Point,"[-73.9802778, 40.7808333]"
239,parking,Pyramid Garage,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.9799658, 40.7820137]",Point,"[-73.9799658, 40.7820137]"
236,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.960854, 40.779288]",Point,"[-73.960854, 40.779288]"
231,parking,SP+,SP+,Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),24/7,N/A,N/A,"[-74.0120512, 40.7152168]",Point,"[-74.0120512, 40.7152168]"
261,parking,Unnamed,Icon,Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),N/A,N/A,N/A,"[-74.0143843, 40.7098072]",Point,"[-74.0143843, 40.7098072]"
128,parking,Unnamed,N/A,Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),N/A,N/A,N/A,"[-73.9148761, 40.87306]",Point,"[-73.9148761, 40.87306]"
48,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.9966404, 40.7569496]",Point,"[-73.9966404, 40.7569496]"
170,parking,Icon Parking,Icon Parking,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,multi-storey,"[-73.97277, 40.7468925]",Point,"[-73.97277, 40.7468925]"
161,parking,Hippodrome Parking,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9823304, 40.7556649]",Point,"[-73.9823304, 40.7556649]"
161,parking,Hippodrome Parking,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9826925, 40.755226]",Point,"[-73.9826925, 40.755226]"
238,parking,Unnamed,Quik Park,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9719427, 40.7954595]",Point,"[-73.9719427, 40.7954595]"
238,parking,Unnamed,N/A,96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),24/7,-1.0,underground,"[-73.9736163, 40.7956415]",Point,"[-73.9736163, 40.7956415]"
164,parking,SP+,SP+,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9869059, 40.7477252]",Point,"[-73.9869059, 40.7477252]"
151,parking,Unnamed,Quik Park,96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),N/A,-1.0,underground,"[-73.9682752, 40.7963646]",Point,"[-73.9682752, 40.7963646]"
